,Constant (mean),Linear,Tree 1,Tree 2,Tree 3,Adaboost (20),Random forest (5),Gradboost
Scartamento [mm],0.79773784,0.75229996,0.7752925791140514,0.7629567209716842,0.747542445090705,0.7482247820377753,0.15247188539794332,0.5412442036724179
ScartMedio [mm],0.63075274,0.57600206,0.6026418089799505,0.5868134274824746,0.568740276928171,0.5467811421693819,0.03607280556222303,0.28227080976912244
Curvatura [1/m],0.00011467355,2.5388255e-05,3.6401173011992786e-05,2.501773063088479e-05,1.9218497007062873e-05,3.031522613535197e-05,3.875003060741583e-06,4.487599396308534e-05
Sopraelev. [mm],65.17868,15.087681,20.71509841945761,14.508198061352626,11.22846342910908,17.631747835889986,2.181406758105289,8.078910925141559
VarSopraelev. [mm],0.6267484,0.5820547,0.6266320146042259,0.6262268437829369,0.6232271937549323,0.5975225924814496,0.2841683033926923,0.5344609976340966
ScartStdDev [mm],0.14006798,0.13628514,0.1386671744976225,0.13649070796473176,0.13277438630285135,0.16688702670920336,0.008067677995681609,0.06269773071293598
ScartLivTrasv [mm],0.7395438,0.66549027,0.7395185246074221,0.7384407459801781,0.7349554090474378,0.6861293546727775,0.31506107259998184,0.6048155553945455
LivTrasvStdDev [mm],0.2132566,0.20757635,0.21269704570944045,0.21102780059562193,0.20547436860186793,0.20711923001187016,0.04666531956853902,0.10872855127058188
Sghembo3m [°/oo],0.28836295,0.27389413,0.28833614309099054,0.2876301666993992,0.285127373302431,0.2814361314748372,0.13222812592364336,0.24834845231794553
Sghembo9m [°/oo],0.17493941,0.1684542,0.17487696099288455,0.17372952621523444,0.17013786314114263,0.16803658893197862,0.04425257867200788,0.12606999266724037
LivLongSxD1 [mm],0.87473786,0.68755776,0.8747346303487397,0.8741376959786146,0.8701608526292448,0.7713105233608353,0.33939513623361955,0.6110508280657931
LivLongDxD1 [mm],0.911681,0.71102315,0.9116756114440967,0.911208107804309,0.9077568360590488,0.7773101675609875,0.357019846949457,0.6406682729228301
AllinSxD1 [mm],0.4423501,0.43374434,0.44234268631161244,0.4419814095325005,0.4401119543841589,0.4368272199099317,0.19337327786719682,0.4047678268634719
AllinDxD1 [mm],0.434739,0.42590228,0.4347316647778951,0.43422765040505956,0.43236651147937244,0.4292988596050381,0.18981858711645924,0.3961693824537798
AllinStdDev [mm],0.11381808,0.111011334,0.1117749204638686,0.10968629182919734,0.10552852489621502,0.11225200346146962,0.008492820496533408,0.05234556017576969
LivLongStdDev [mm],0.3288809,0.31723583,0.3262838643143303,0.3212065300412585,0.31455643948650547,0.3129535335379644,0.05415176463522024,0.17490609419912098
LivLongSxD2 [mm],0.97842115,0.9517516,0.9783797089454066,0.9772371304840844,0.9677369991226682,0.9633255608005663,0.3424963332880478,0.8371974072817877
LivLongDxD2 [mm],1.0321494,1.0046625,1.0318696032748111,1.0304875410035959,1.0204295120076832,1.0165378395127849,0.37316839818319175,0.8737084390321198
AllinSxD2 [mm],0.62535924,0.61529124,0.6248995476662184,0.6195175181922183,0.6082947095299013,0.6198676605436512,0.17591655088273206,0.5455069511514947
AllinDxD2 [mm],0.6359961,0.6237748,0.6354788316956612,0.6296600179082218,0.6178483446030165,0.6279888834849917,0.16615997699001392,0.5472492008385929
LivLongSxD3 [mm],2.1531925,2.0697665,2.1530362502536216,2.149583722621855,2.119749993623643,2.0913554895825874,0.6786604796757127,1.7555738463896629
LivLongDxD3 [mm],2.1651657,2.082311,2.1646513905467795,2.1615949548309334,2.1322601867654862,2.095900202395343,0.6475640651776258,1.7527730730217261
AllinSxD3 [mm],1.9843059,1.9107317,1.9796882258771349,1.9671476464655746,1.921404804861674,1.9071419254434299,0.37208479996647575,1.5280697949571342
AllinDxD3 [mm],1.9792324,1.906862,1.9742456405633282,1.961917629955145,1.9165092927670666,1.9037349077823162,0.39272706756877435,1.5254399365158693
