,Constant,Linear,Ridge,Tree,RF,Adaboost,Gradboost
LivLongSxD1 [mm],0.56512874,0.51013,0.50640684,0.5478444346314107,0.4824028149422745,0.468268623433811,0.4636775033580461
LivLongDxD1 [mm],0.5893672,0.5337881,0.52894926,0.5708473736601754,0.5020469829225839,0.4856338971562601,0.48299005810465095
AllinSxD1 [mm],0.3323355,0.33123446,0.33129656,0.33142714304382387,0.3240051504022058,0.3301410616251722,0.3263396753887046
AllinDxD1 [mm],0.3241251,0.32305726,0.32313043,0.32350628707942575,0.31608135012883176,0.32268098688470404,0.3176915769819288
LivLongSxD2 [mm],0.70823234,0.70254946,0.7025018,0.6996622447737201,0.6702593620660835,0.6794407622495329,0.6610544473645418
LivLongDxD2 [mm],0.74861276,0.74257857,0.7426842,0.7403842669512893,0.7088123215670007,0.719522548385035,0.6993920743862642
AllinSxD2 [mm],0.45993766,0.458983,0.45898694,0.45690791916906465,0.4486085866348444,0.456510845955331,0.444064312388257
AllinDxD2 [mm],0.46560386,0.46469292,0.46465018,0.4622708899810113,0.45418160724820794,0.4606171348301808,0.44993857087556915
LivLongSxD3 [mm],1.5619465,1.5571959,1.5561876,1.5365189924333615,1.5173204983570432,1.5040001611949572,1.4444197628158955
LivLongDxD3 [mm],1.5766225,1.5709985,1.5702189,1.550164483735536,1.5321319906919817,1.5183456132388184,1.4591438179435288
AllinSxD3 [mm],1.4488736,1.4477519,1.4477035,1.3222090987292339,1.2076339672584013,1.1336545110142042,1.1200891419032406
AllinDxD3 [mm],1.4507049,1.4497654,1.4496994,1.3238048616799745,1.2091247777278766,1.1392383053285662,1.123347331944906
